Name,Prize Amount,Sponsor,Theme
Decentralized Infrastructure for Self-Sustaining AI,1000,Filecoin,"Agentic Autonomy & Persistence, Independent Onchain Identities"
Best Use of the Gemini Prediction Markets API,1000,Gemini,Prediction Markets — Data Tools & Trading Applications
Autonomous News-Driven Trading Agent,1000,Polymarket,AI & Algorithmic Trading
Best Use of Agentic Payments on Solana with x402,1000,Solana,"Agentic Payments, Open-Ended"
Smart Account Provisioning for OpenClaw Agents,1000,Solana,"AI Agents, Infrastructure, Security"
Best Prediction Market on Solana,1000,Solana,"DeFi, Open-Ended, Prediction Markets — Data Tools & Trading Applications, Privacy & Data Governance"
Payments & DeFi Product Demo (Retail + Business),1000,TRON,"Agentic Payments, DeFi, Open-Ended"
Infrastructure Upgrade or Integration,1000,TRON,"Infrastructure, Open-Ended"
AI & Agentic Commerce,1000,TRON,"AI, Open-Ended"
First Place Project,,Penn Blockchain Conference Bounties,Open-Ended
Second Place Project,,Penn Blockchain Conference Bounties,Open-Ended
Third Place Project,,Penn Blockchain Conference Bounties,Open-Ended
